City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Port Hardy,CA,50.6996,-127.4199,60.13,93,99,3.98,overcast clouds
181,Uvat,RU,59.1433,68.8953,64.92,54,100,9.84,overcast clouds
182,Auki,SB,-8.7676,160.7034,76.68,88,4,4.63,clear sky
183,Broome,US,42.2506,-75.833,76.46,64,20,7.0,few clouds
184,Fukue,JP,32.6881,128.8419,82.6,85,100,29.62,overcast clouds
185,Thinadhoo,MV,0.5333,72.9333,77.65,91,100,28.7,light rain
186,Tomari,RU,47.7658,142.0683,54.75,72,0,7.4,clear sky
187,Dombarovskiy,RU,50.7587,59.5386,73.81,49,100,5.61,overcast clouds
188,Kodiak,US,57.79,-152.4072,53.11,94,100,3.44,overcast clouds
189,Bilibino,RU,68.0546,166.4372,55.74,51,99,4.43,overcast clouds
190,Solone,UA,48.2081,34.8721,89.1,23,4,10.04,clear sky
191,Hamilton,US,39.1834,-84.5333,71.44,94,100,9.22,overcast clouds
192,Barabai,ID,-2.5833,115.3833,70.92,95,100,2.08,overcast clouds
193,San Luis,AR,-33.295,-66.3356,62.82,26,0,3.27,clear sky
194,Grand-Santi,GF,4.25,-54.3833,88.38,53,17,3.69,few clouds
195,Wewak,PG,-3.5534,143.6268,80.15,84,90,7.0,overcast clouds
196,Sibolga,ID,1.7427,98.7792,78.03,83,88,3.18,overcast clouds
197,Zhengjiatun,CN,43.5064,123.5064,74.86,94,41,8.01,scattered clouds
198,Upernavik,GL,72.7868,-56.1549,49.01,66,52,8.16,broken clouds
199,Byron Bay,AU,-28.65,153.6167,55.94,77,100,9.13,overcast clouds
200,Lavrentiya,RU,65.5833,-171.0,41.59,89,40,2.01,scattered clouds
201,Port Lincoln,AU,-34.7333,135.8667,51.06,77,6,10.09,clear sky
202,Maykor,RU,59.0059,55.88,70.99,70,100,6.08,light rain
203,Jablah,SY,35.3614,35.9256,84.49,65,20,6.91,few clouds
204,Faya,SA,18.3851,42.4509,68.52,74,83,9.55,broken clouds
205,Brae,GB,60.3964,-1.353,54.86,70,41,12.41,scattered clouds
206,Yokadouma,CM,3.5167,15.05,73.45,92,100,2.91,light rain
207,Arys,KZ,42.4252,68.795,83.19,29,0,7.29,clear sky
208,Khlevnoye,RU,52.1951,39.0932,77.02,41,60,8.32,broken clouds
209,Olot,ES,42.181,2.4901,91.35,84,90,7.11,overcast clouds
210,Hay River,CA,60.8156,-115.7999,55.74,75,3,1.28,clear sky
211,Aiken,US,33.5835,-81.5998,90.93,66,40,13.8,scattered clouds
212,Oxford,GB,51.7522,-1.256,81.21,76,75,11.5,broken clouds
213,Guanica,PR,17.9716,-66.908,91.53,75,6,18.43,clear sky
214,Bengkulu,ID,-3.8004,102.2655,76.89,90,83,4.5,broken clouds
215,Itoman,JP,26.1247,127.6694,82.42,89,75,13.8,broken clouds
216,Umm Kaddadah,SD,13.6017,26.6876,90.95,39,89,14.92,overcast clouds
217,Shestakovo,RU,56.4915,103.96,61.74,99,56,3.33,broken clouds
218,Nikolskoye,RU,59.7035,30.7861,71.49,43,58,4.41,broken clouds
219,Palasa,IN,18.7667,84.4167,82.44,86,93,6.91,overcast clouds
220,Davila,PH,18.4726,120.5763,82.0,83,100,14.45,light rain
221,Tres Arroyos,AR,-38.3739,-60.2798,59.07,51,100,5.35,overcast clouds
222,Kaitangata,NZ,-46.2817,169.8464,43.12,91,76,8.61,broken clouds
223,Dingle,PH,10.9995,122.6711,76.64,90,100,3.69,overcast clouds
224,Corn Island,NI,12.1694,-83.0418,81.55,81,75,18.37,broken clouds
225,Lisakovsk,KZ,52.5369,62.4936,69.03,69,99,6.17,light rain
226,Borgarnes,IS,64.5383,-21.9206,58.8,66,97,11.18,overcast clouds
227,Kohat,PK,33.582,71.4493,82.47,74,94,6.33,overcast clouds
228,Adre,TD,13.4667,22.2,83.37,54,99,7.16,overcast clouds
229,Karpathos,GR,35.507,27.2132,80.56,74,0,34.52,clear sky
230,Portland,US,45.5234,-122.6762,73.53,66,40,5.75,scattered clouds
231,Esperance,AU,-33.8667,121.9,53.82,65,69,11.95,broken clouds
232,Vallenar,CL,-28.5708,-70.7581,62.67,55,0,1.16,clear sky
233,Afua,BR,-0.1567,-50.3867,85.82,65,97,5.88,overcast clouds
234,Viking,CA,53.1001,-111.7684,62.73,86,78,4.38,broken clouds
235,Cherskiy,RU,68.75,161.3,53.17,61,31,9.71,scattered clouds
236,Saskylakh,RU,71.9167,114.0833,45.12,84,100,13.13,overcast clouds
237,Cururupu,BR,-1.8283,-44.8683,84.24,73,49,6.87,scattered clouds
238,Nuuk,GL,64.1835,-51.7216,48.81,76,20,11.5,few clouds
239,Shingu,JP,33.7333,135.9833,77.27,90,79,5.03,broken clouds
240,Isangel,VU,-19.55,169.2667,73.13,86,93,10.58,overcast clouds
241,Manono,CD,-7.3,27.4167,93.9,20,4,2.24,clear sky
242,Lompoc,US,34.6391,-120.4579,68.77,87,0,4.0,clear sky
243,Srednekolymsk,RU,67.45,153.6833,58.6,44,43,7.34,scattered clouds
244,Saint George,US,37.1041,-113.5841,78.64,70,0,3.44,clear sky
245,Kuryk,KZ,43.2,51.65,85.62,48,0,15.57,clear sky
246,Lorengau,PG,-2.0226,147.2712,81.79,77,27,7.38,scattered clouds
247,Longyearbyen,SJ,78.2186,15.6401,49.84,76,0,5.75,clear sky
248,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,4.61,broken clouds
249,Vanavara,RU,60.34,102.2797,61.88,91,40,1.54,scattered clouds
250,Letlhakane,BW,-21.4167,25.5833,79.34,14,6,6.93,clear sky
251,Naron,ES,43.5167,-8.1528,88.56,57,0,19.64,clear sky
252,Kidal,ML,18.4411,1.4078,104.54,13,81,5.35,broken clouds
253,Goksun,TR,38.021,36.4973,86.32,23,6,16.04,clear sky
254,Bekhtery,UA,46.251,32.2927,85.19,33,80,8.93,broken clouds
255,Mount Gambier,AU,-37.8333,140.7667,45.46,91,62,9.57,broken clouds
256,Norman Wells,CA,65.282,-126.8329,60.84,63,20,11.5,few clouds
257,Cairns,AU,-16.9167,145.7667,70.11,92,28,6.73,scattered clouds
258,Abu Samrah,SY,35.3029,37.1841,97.79,15,0,15.84,clear sky
259,Manaure,CO,11.7751,-72.4445,88.52,53,30,26.06,scattered clouds
260,Ko Samui,TH,9.5357,99.9357,85.8,71,100,16.98,heavy intensity rain
261,Numan,NG,9.4667,12.0333,86.92,54,84,8.55,broken clouds
262,Neuquen,AR,-38.9516,-68.0591,46.29,71,0,2.3,clear sky
263,Caravelas,BR,-17.7125,-39.2481,73.74,88,65,10.25,broken clouds
264,Cabedelo,BR,-6.9811,-34.8339,83.07,81,61,14.74,broken clouds
265,Belmonte,BR,-15.8631,-38.8828,79.23,66,3,3.89,light rain
266,Bathsheba,BB,13.2167,-59.5167,86.61,83,40,24.16,scattered clouds
267,Kavaratti,IN,10.5669,72.642,81.46,82,90,20.15,overcast clouds
268,Richards Bay,ZA,-28.783,32.0377,63.61,74,100,15.93,light rain
269,Raudeberg,NO,61.9875,5.1352,59.95,73,95,7.29,overcast clouds
270,Sezze,IT,41.5033,13.0641,88.81,73,87,4.94,overcast clouds
271,Yar-Sale,RU,66.8333,70.8333,55.26,64,59,5.86,broken clouds
272,Choix,MX,26.7092,-108.3219,75.54,88,100,3.89,overcast clouds
273,Fairbanks,US,64.8378,-147.7164,57.6,92,100,1.01,fog
274,Yangjiang,CN,21.85,111.9667,81.84,75,4,4.97,clear sky
275,Amga,RU,60.8953,131.9608,66.29,71,68,3.69,broken clouds
276,Abu Road,IN,24.4833,72.7833,81.57,75,98,8.14,overcast clouds
277,Loei,TH,17.4167,101.5,67.01,90,86,2.59,light rain
278,Zhigansk,RU,66.7697,123.3711,66.97,72,99,7.56,overcast clouds
279,Xique-Xique,BR,-10.8218,-42.7263,87.62,40,0,9.19,clear sky
280,Bandarbeyla,SO,9.4942,50.8122,76.66,78,99,32.64,overcast clouds
281,Quatre Cocos,MU,-20.2078,57.7625,71.1,72,50,18.01,scattered clouds
282,Chardara,KZ,41.2547,67.9692,83.26,30,0,11.41,clear sky
283,Hwange,ZW,-18.3693,26.5019,80.2,17,5,6.98,clear sky
284,Ixtapa,MX,20.7,-105.2,80.22,83,100,4.61,overcast clouds
285,Hecun,CN,36.5333,114.1111,78.75,79,6,2.06,clear sky
286,Menongue,AO,-14.6585,17.691,82.81,15,29,5.55,scattered clouds
287,Mouila,GA,-1.8685,11.0559,82.31,74,75,4.27,broken clouds
288,Cidreira,BR,-30.1811,-50.2056,60.64,68,63,13.04,broken clouds
289,Sola,VU,-13.8833,167.55,78.96,80,93,14.27,overcast clouds
290,Dunedin,NZ,-45.8742,170.5036,44.8,75,46,5.99,scattered clouds
291,Bedford,GB,52.1346,-0.4663,78.51,60,40,12.66,scattered clouds
292,Nome,US,64.5011,-165.4064,44.67,81,0,4.61,clear sky
293,Tono,JP,39.3167,141.5333,71.74,88,19,3.15,few clouds
294,Ponta Do Sol,PT,32.6667,-17.1,82.71,65,0,2.71,clear sky
295,Frolovo,RU,49.7713,43.6622,82.38,35,7,10.29,clear sky
296,Mitsamiouli,KM,-11.3847,43.2844,76.51,67,7,1.77,clear sky
297,Nangong,CN,37.3581,115.3744,83.3,69,95,3.76,overcast clouds
298,Astana,KZ,51.1801,71.446,71.55,56,40,8.95,scattered clouds
299,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,71,40,18.41,scattered clouds
300,Makakilo City,US,21.3469,-158.0858,77.32,69,0,16.11,clear sky
301,Zhangjiakou,CN,40.81,114.8794,76.23,70,47,4.68,scattered clouds
302,Flin Flon,CA,54.7682,-101.865,60.64,88,75,4.61,broken clouds
303,Soyo,AO,-6.1349,12.3689,75.06,73,14,11.63,few clouds
304,Lokoja,NG,7.8024,6.743,84.36,68,100,3.87,light rain
305,Ballina,AU,-28.8667,153.5667,55.02,99,100,7.96,overcast clouds
306,Puro,PH,12.4841,123.3827,80.2,82,100,5.17,overcast clouds
307,Tshela,CD,-4.9833,12.9333,89.29,37,4,3.83,clear sky
308,Nakama,JP,33.8167,130.7,84.15,78,69,7.0,broken clouds
309,Katsuura,JP,35.1333,140.3,80.17,89,87,11.32,overcast clouds
310,Cayenne,GF,4.9333,-52.3333,89.64,18,100,4.0,overcast clouds
311,Innerleithen,GB,55.6193,-3.063,62.98,93,100,4.41,overcast clouds
312,Katav-Ivanovsk,RU,54.7531,58.1956,65.3,81,93,1.9,overcast clouds
313,Malanje,AO,-9.5402,16.341,84.79,18,0,5.86,clear sky
314,Porangatu,BR,-13.4408,-49.1486,94.03,15,28,4.34,scattered clouds
315,Polyarnyy,RU,69.1989,33.4478,63.91,66,4,19.22,clear sky
316,Ginda,IN,30.6945,78.4932,65.57,92,100,1.79,overcast clouds
317,Hambantota,LK,6.1241,81.1185,79.36,85,100,19.89,moderate rain
318,Jhawarian,PK,32.3614,72.6228,87.62,70,59,6.71,light rain
319,Idlib,SY,35.9306,36.6339,89.67,33,0,16.26,clear sky
320,Buala,SB,-8.145,159.5921,80.22,81,3,9.78,clear sky
321,Kalaleh,IR,37.3807,55.4916,89.2,51,40,9.22,scattered clouds
322,Alcaniz,ES,41.05,-0.1333,93.07,30,0,6.87,clear sky
323,Hammerfest,NO,70.6634,23.6821,61.25,67,75,6.91,broken clouds
324,Boca Do Acre,BR,-8.7522,-67.3978,89.53,36,54,1.3,broken clouds
325,Shenjiamen,CN,29.9576,122.298,81.99,85,100,9.69,overcast clouds
326,Necochea,AR,-38.5473,-58.7368,57.06,62,100,6.11,overcast clouds
327,Cankuzo,BI,-3.1333,30.5833,69.71,55,99,4.32,light rain
328,Kaeo,NZ,-35.1,173.7833,42.33,93,9,4.76,clear sky
329,Churapcha,RU,62.0025,132.4325,66.49,82,95,6.64,overcast clouds
330,Saldanha,ZA,-33.0117,17.9442,55.81,57,2,18.37,clear sky
331,Iwaki,JP,37.05,140.8833,80.02,89,90,4.74,overcast clouds
332,Umba,RU,66.6871,34.3429,54.14,89,100,11.72,overcast clouds
333,Archidona,ES,37.0965,-4.3887,79.36,24,0,8.34,clear sky
334,Alofi,NU,-19.0595,-169.9187,75.09,88,9,6.91,clear sky
335,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,58,7,6.64,clear sky
336,Hithadhoo,MV,-0.6,73.0833,78.22,83,100,21.47,moderate rain
337,Moron,AR,-34.6534,-58.6198,63.01,73,100,3.36,overcast clouds
338,Kununurra,AU,-15.7667,128.7333,71.08,24,100,4.81,overcast clouds
339,Bonavista,CA,48.6499,-53.1147,66.07,68,0,7.47,clear sky
340,Lasa,IT,46.6166,10.7002,84.69,49,91,4.07,overcast clouds
341,Uribia,CO,11.7139,-72.266,90.05,49,62,28.03,broken clouds
342,Pirai Do Sul,BR,-24.5261,-49.9486,70.03,30,0,4.34,clear sky
343,Pedernales,DO,18.0384,-71.744,88.57,56,100,8.37,overcast clouds
344,Young,UY,-32.6833,-57.6333,59.05,60,100,3.09,overcast clouds
345,Bijar,IR,35.8668,47.6051,81.86,29,85,12.66,overcast clouds
346,Seymchan,RU,62.8833,152.4333,52.59,77,32,8.81,scattered clouds
347,Batagay,RU,67.6333,134.6333,65.8,84,50,1.36,scattered clouds
348,Neiafu,TO,-18.65,-173.9833,77.68,94,75,9.22,broken clouds
349,Rapid City,US,44.0805,-103.231,81.12,42,0,24.16,clear sky
