City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Dodge City,US,82.26,clear sky,37.7528,-100.0171,Windsor Inn & Suites
356,Miandrivazo,MG,82.26,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
358,Hot Springs,US,80.4,overcast clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
360,Lethem,GY,78.73,overcast clouds,3.3803,-59.7968,Savannah Inn
362,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
368,Beruwala,LK,79.03,heavy intensity rain,6.4788,79.9828,The Palms Hotel
369,Bireun,ID,78.3,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
371,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
373,Schruns,AT,76.24,overcast clouds,47.0709,9.9475,Hotel Zimba
375,Mayo,US,86.36,clear sky,38.8876,-76.5119,Resorts Resource Group International
380,Bodden Town,KY,89.01,scattered clouds,19.2833,-81.25,Will T Place
384,Tezu,IN,75.61,overcast clouds,27.9167,96.1667,Circuit House
385,Nanchong,CN,84.04,scattered clouds,30.7951,106.0847,Marine Una Century Hotel
389,San Policarpo,PH,82.69,overcast clouds,12.1791,125.5072,Agapita M. Nicart
393,Daru,PG,76.05,broken clouds,-9.0763,143.2092,Daru Lodge
394,Samarai,PG,79.12,scattered clouds,-10.6167,150.6667,Nuli Sapi
396,Dicabisagan,PH,80.19,light rain,17.0818,122.4157,Nancy Montanes Bernardo
398,Dano,BF,89.06,broken clouds,11.15,-3.0667,Auberge Phenix32-Dano
401,Melfi,IT,84.99,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
404,San Pedro,PH,80.35,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
406,Moa,CU,84.96,overcast clouds,20.6569,-74.9403,Carmen
407,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
415,Kuantan,MY,77.11,few clouds,3.8077,103.326,Hotel Sentral Kuantan
416,Halifax,CA,79.52,clear sky,44.6453,-63.5724,Hotel Halifax
420,Halvad,IN,84.51,broken clouds,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
421,Luganville,VU,77.23,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
422,Tonota,BW,79.5,clear sky,-21.4833,27.4833,Semotswane Baraka Lodge
424,Chateau-Gontier,FR,89.94,clear sky,47.8333,-0.7,Logis Parc Hôtel & Spa
425,Wucheng,CN,77.47,clear sky,29.6008,118.175,Xiuwu Restaurant
427,Finschhafen,PG,78.84,overcast clouds,-6.6024,147.8681,Cossam Guest House
429,Mogadishu,SO,77.0,scattered clouds,2.0371,45.3438,Hotel Juba
431,Rumford,US,80.96,clear sky,44.5537,-70.5509,coastal rentals llc
433,Yanam,IN,82.51,overcast clouds,16.7333,82.2167,The Regency Hotel
434,Tibati,CM,75.15,overcast clouds,6.4667,12.6333,Tibati Hotel
436,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
439,Golden,US,83.53,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
440,Tampin,MY,78.22,overcast clouds,2.4701,102.2302,A'Famosa Resort
442,Palmer,US,81.86,broken clouds,42.1584,-72.3287,Wedgewood Motel
443,Coruripe,BR,79.79,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
444,Yining,CN,78.26,clear sky,29.0361,114.5636,Xiushui Hotel
448,Zeitz,DE,83.39,overcast clouds,51.05,12.15,Hotel Weiße Elster
449,Jackson,US,77.76,smoke,42.4165,-122.8345,Agate Village Apartments
450,Tateyama,JP,79.11,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
453,Ishigaki,JP,80.73,moderate rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
457,Pavlovsk,RU,80.04,clear sky,50.4578,40.1081,Grand-Otel'
459,Pierre,US,79.72,clear sky,44.3683,-100.351,Ramkota Hotel
461,Port Moresby,PG,75.52,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
462,Phetchaburi,TH,77.76,light rain,12.9667,99.5833,บ้านไร่ ท้ายเขื่อน แคมป์วิว เขื่อนแก่งกระจาน
466,Akyab,MM,84.27,overcast clouds,20.15,92.9,Hotel Memory
467,Mangrol,IN,81.97,broken clouds,21.1167,70.1167,Hotel The Royal Honours
468,San Miguel,SV,84.49,overcast clouds,13.4833,-88.1833,Excalibur
469,Mengen,DE,84.54,overcast clouds,48.0495,9.3301,Hotel Donaublick
470,Ugoofaaru,MV,78.31,overcast clouds,5.6667,73.0,Ungoofaaru Inn
471,Rajgarh,IN,87.15,moderate rain,28.6333,75.3833,Nand Plaza Hotel Bar & Restaurant - Best Hotel | Bar | Top Restaurant in Sadulpur
472,Capaci,IT,89.65,few clouds,38.1711,13.2393,Hotel Sirenetta
473,Fergus Falls,US,75.18,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
474,Nabire,ID,76.53,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
475,Basoko,CD,76.05,moderate rain,1.2391,23.616,Jackyna Hotel
476,Camopi,GF,88.25,few clouds,3.1655,-52.3158,La pousada
477,Nisia Floresta,BR,80.98,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
481,San Antero,CO,82.8,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
485,Kizukuri,JP,77.95,overcast clouds,40.8061,140.3861,Kashiwa Roman-sō
486,Wanning,CN,82.36,clear sky,18.8003,110.3967,Paradise Hotel
488,Sinnamary,GF,81.72,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
491,Kilindoni,TZ,75.94,clear sky,-7.9139,39.6668,Bustani B&B
492,Shimoda,JP,80.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
496,Omboue,GA,78.35,broken clouds,-1.5746,9.2618,Hotel Olako
499,Kirakira,SB,79.0,scattered clouds,-10.4544,161.9205,SanBiz Lodge
500,Matara,LK,78.46,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
501,Touros,BR,82.85,few clouds,-5.1989,-35.4608,INN NEW HORIZON
